1060,HOLIDAY INN BYO,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,DistMkgServ,Low,80141500
1061,DEPOSIT PROTECTION BOARD,Zimbabwe,Africa & Middle East,ZWE,Professional Services,FINANCE,FinServ,High,84111802
1062,ELECTRO ACOUSTIC SYSTEMS PRIVATE LIMITED,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-VoDtBilling,Low,81161703
1063,LIQUID TELECOM,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-VoDtBilling,Medium,81161703
1064,NITWICK ENTERPRISES,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,Others,Low,43230000
1065,SYBRIN LIMITED,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,SWAppli,Low,43230000
1066,MOTOR TORQUE,Zimbabwe,Africa & Middle East,ZWE,BankOpsSrvc,General Automotive Repair,Others,Low,27113201
1067,TRUSTLINK (PTY) LTD,Zimbabwe,Africa & Middle East,ZAF,Technology,TECHNOLOGY,SWAppli,Low,43230000
1068,CARRIER AIR CONDITIONING P/L,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Low,80101504
1069,AUTOWORLD HARARE PVT LTD,Zimbabwe,Africa & Middle East,ZWE,BankOpsSrvc,General Automotive Repair,Others,Low,27113201
1070,CROCO MOTORS,Zimbabwe,Africa & Middle East,ZWE,BankOpsSrvc,General Automotive Repair,Others,High,27113201
1071,KELHEAD INVESTMENTS,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-VoDtBilling,High,81161703
1072,POWN ENGINEERING P/L,Zimbabwe,Africa & Middle East,ZWE,Property,General cleaning of buildings,Cleaning,Low,47121501
1073,ZIMBABWE RED CROSS SOCIETY,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Sponsorship,Low,80101508
1074,CASDAV CONSULTANTS P/L,Zimbabwe,Africa & Middle East,ZWE,Professional Services,FINANCE,FinServ,Low,84111802
1075,INSTITUTE OF PEOPLE MANAGEMENT OF ZWE,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,Train&Dlvp,Low,86101606
1076,INSTITUTE OF CHARTERED SECRETARIES & ADM,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,Others,Low,43231505
